user,team,opponent,result
max,Denver Broncos,New York Giants,L
max,Green Bay Packers,Arizona Cardinals,L
nathan,Jacksonville Jaguars,Los Angeles Rams,L
nathan,New Orleans Saints,Chicago Bears,L
nathan,New England Patriots,Tennessee Titans,W
jacob,New York Jets,Carolina Panthers,L
jacob,Dallas Cowboys,Washington Commanders,W
jacob,Green Bay Packers,Arizona Cardinals,L
john,Minnesota Vikings,Philadelphia Eagles,L
john,Indianapolis Colts,Los Angeles Chargers,W
john,Dallas Cowboys,Washington Commanders,W
max,Seattle Seahawks,Houston Texans,W
connor,Philadelphia Eagles,Minnesota Vikings,W
connor,Seattle Seahawks,Houston Texans,W
connor,Los Angeles Chargers,Indianapolis Colts,L
shane,Los Angeles Chargers,Indianapolis Colts,L
shane,Dallas Cowboys,Washington Commanders,W
shane,Seattle Seahawks,Houston Texans,W
cam,Green Bay Packers,Arizona Cardinals,L
cam,San Francisco 49ers,Atlanta Falcons,W
cam,Seattle Seahawks,Houston Texans,W
